# USECODE Dialogue Text Dump
# File: D:\Project\uc\SERPENT\STATIC\USECODE
# Generated: 2026-06-16 15:59:44
# Total strings: 16582
# Filter: dialogue-likely only, deduplicated
================================================================================

    1.               the elms?*
   15.      Definitions:~~Black potion: Drinking this will render the individual invisible for several minutes.~Blue potion: This mixture will put the imbiber into a deep sleep.~Orange potion: This potion will awaken an individual who was magically put to sleep.~Purple potion: This concoction will provide magical protection for several minutes of hard fighting.~White potion: This potion will provide a small bit of illumination, much like a candle, for a few minutes.~ Yellow potion: This powerful mixture will give healing aid to the imbiber's wounds.~~WARNING: Green potion: This potion is a dangerous toxin, and will poison the imbiber, possibly killing the individual.~ Red potion: This fabulous drink will cure most poisons, including those acquired from the slugs in the swamps and that gained from drinking a GREEN potion.
   16.      First, thou must procure five stones of the dust of crushed rubies. This must be mixed thoroughly with the ooze of a slime, enough to make the rubies into a thick paste. After thou hast created the paste, set it in an ivory jar and place the entire container in a bucket of olive oil for three years.*
   17.      Frigidazzi
   18.      Good morning to thee, gentle friend and traveller! No matter what time of day it might be when thou art reading this -- no matter what the hour of the clock -- I say good morning to thee because this very moment brings to thee the coming of the dawn. The dawn, as everyone knows, is the moment when illumination comes. The dawn marks the end of the long dark night. It is the moment that marks a new beginning. It is mine humble hope that these words may be for thee a dawning, or at least, a sort of awakening...
   19.      I have been here for more days than I am able to remember, though I have not forgotten the day I entered this forsaken cave which has become my tomb. That was 2-29-0227. But my food was depleted long ago, and the rats are more interested in eating me than letting me eat them. My strength is gone, as is my will. If thou dost find this, please tell Mythra I love her.~~
   20.      In this volume, compiled for easy reference, are some of the many fascinating constructions I have found during my researches. These items range from interesting uses for mundane items to fascinating miscarriages of magic.*
   21.      It is the author's expectation that thou art reading this to familiarize thyself with the effects of various potions based on their color. The first part of this work will discuss such aspects, with the remaining pages covering the materials and steps required to make such alchemical creations.*
   22.      It is very easy to inflict physical pain on someone. A casual look about my laboratory will prove that. Iron maidens, thumbscrews, and racks are all useful for this purpose, but what should be done for the person who can literally accept and even ignore physical pain? In this case, a test of one's mental faculties shall be necessary. Research thy subject carefully, and discover what tears into his soul. Understand his psyche, and use what thou dost discover to help augment the physical torture.
   23.      It was Lord British who had the insight to call forth a quest for the Avatar (who also happened to be the champion from the days of Sosaria), and who gave prosperity and happiness unto the people.~
   24.      Now thou shalt seek out...
   25.      QA, report this scroll.
   26.      Talking about all living creatures on our beloved Serpent Isle, we cannot forget to mention the family of the penguins. Those clumsy-looking beings are called birds even though they cannot fly. They live in the northern part of this island. Penguins are very good divers. The short wings of their strong bodies are used as a rudder. Out of the water they walk upright just as Men and the tail is an important tool to keep balance. Depending on the species, they can grow taller than 3 feet. No matter what the species, all penguins live in a sociable manner and breed in seemingly peaceful colonies. The female penguins take much pride in building the nests. Because of their size, penguin nests can easily contain more than mere eggs...
   27.      The next step is to procure 10 newborn babes, none more than six days old. With a knife cut from the bone of a harpy, thou must remove the blood from each newborn. To be kept fresh, the blood must be stored in an onyx flask, though mixing of each baby's blood is quite permissible.*
   28.      The observations enclosed herein are based on mine experiments.
   29.      The three identified varieties of magical wand all seem to have been made for the express purpose of changing the combat-weak spellcaster into a battle-ready automaton. And, for those with the ability to keep them from losing their potency (no small feat of magic, mind thee, but simple for anyone capable of crafting the wand in the first place), they are perhaps the most formidable weapons of their size.~~
   30.      Then came his mysterious disappearance, when the Stranger who became the Avatar was called by his companions to aid in the search for the lost monarch. Note how Lord Blackthorn, affected by the Shadowlords, quickly turned Britannia's fair lands into a place of terror. But find our noble Lord the Avatar did, and Britannia was restored to its former, peaceful state.~
   31.      Then came the Gargoyles, and our honorable sovereign thoughtfully requested the return of the Avatar...
   32.      Then came the gargoyles, and our honorable sovereign thoughtfully requested the return of the Avatar...
   33.      This is a complete sourcebook for a variety of patterns. Included are patterns for clothing, blankets, quilts, and sheets. The introduction even includes a section on weaving one's own cloth.~
   34.      This is not a valid scroll.
   35.      This large tome describes most of the common plants indigenous to Britannia.~~
   36.      This next section details how one can best recreate these uncanny concoctions...
   37.      Though I personally advocate the use of healing herbs and more cleanly bandaging environments, the steps told in this treatise will suffice until better healing care becomes available. Follow these steps carefully, and thou wilt have no trouble forming a reliable, if not perfect, way to prevent serious blood-loss. Remember, however, that there is no care as good as clean sheets, a sturdy bed, and proper attention!~~
   38.      Throughout these pages, thou wilt find even more insidious ways to produce pain. Read them well, and thou wilt never be disappointed with the results.
   39.      To create a device that will protect thine home against fire, certain items are required. The owner will need 1 keg of moondust and 1 keg of roasted ice ants. The mixture of both must be spread around the house in a circle. Unfortunately this procedure hath not been proven to be absolutely effective yet.~
   40.      To extend one's life is a complicated procedure, taking years to complete. However, there is an additional side effect: invulnerability. I have broken this work down into chapters based on each individual ritual. It is very important that these steps be performed in the order presented.*
   41.      We will look now at a few examples. Suppose thou dost want to cause a harpsichordist pain. Thumbscrews are the obvious choice, but why not add to his experience by playing the blissful tune "Sea Shanty"? This should produce some very good results. Similarly, if the subject is a writer, strapping him to "the rack" and reading from the dismal "Sir Trout's Plot Guide" will have him writhing.
   42.      When it is ready, finish shaping it on the anvil with the hammer. When thou hast formed a blade of the desired shape, use the quenching barrel to cool the metal. It will harden quickly, so be sure the blade is as sharp as thou dost want it to be.~
   43.      When the terrible machine, Exodus, was defeated, 'twas Lord British behind whom all the people of Sosaria rallied. The unified land become known as Britannia, with Lord British as the sole monarch. Never let it be said, though, that he rules with a tyrannical hand. His reign hath always been one of Truth, Love, and Courage, supported by his utmost belief in the eight virtues.~
   44.      When the terrible machine, Exodus, was defeated, 'twas Lord British behind whom all the people of Sosaria rallied. The unified land become known as Britannia, with Lord British as the sole monarch. Though never let it be said he rules with a tyrannical hand. His reign hath always been one of Truth, Love, and Courage, supported by his utmost belief in the eight virtues.~
   45.      While most suppliers will rave about the effectiveness of a good sword or specially fitted armour, I personally feel that proper exploring gear is much more necessary.~
   46.      Wilt thou possibly be outside city walls when darkness comes? Then buy a torch. And how wilt thou carry thy provisions? A backpack will prove necessary. And what about a container for thy refreshment? Purchase a jug or bucket. As for...
   47.      adventure proud
   48.      allowed
   49.      an evil seed.
   50.      appear
   51.      cannot hear a sound.
   52.      devour,
   53.      hole in the ground
   54.      in the river
   55.      on all dost shower
   56.      power.*
   57.      spell
   58.      torture the lot
   59.     A market exists when there is a resource to be exchanged. A resource, in simplest terms, can be either a good or a service. A good is a tangible item -- examples include water, diamonds, and false beards. A service is something which is performed by an entity; e.g. the service a cargo ship supplies or even governmental bodies such as a standing garrison of soldiers...
   60.     As is the case in any science, one must first be given a foundation upon which to build his knowledge; in this particular instance, I will refer to the "Tower of Economic Understanding."*
   61.     Economics is, simply put, the study of how an entity could most efficiently allocate its limited resources. I use the word "Entity" because these principles, moderately adjusted, may be applied on different levels.*
   62.     Farewell,~
   63.     From the largest, and consequently least detailed, level -- that of a worldwide market in which the intricacies of trade and specialization are most emphasized, to an individual business's or, smaller still, an individual's struggle to gain maximum utility from the limited funds provided by that person's livelihood.*
   64.     I have been given the privilege of chronicling the King's romp through madness. As a reward, I will be slain quickly. His Majesty began with a commoner named Patric, stretching him on the rack. By his own hands, His Majesty turned the man to a babbling wretch over the course of twelve hours.
   65.     Let us begin by defining some simple, underlying theories which may dictate the behavior of our target, which, for the purposes of this book, will focus on the economy as a whole. I intend later to publish a separate document on the wholly different level of business and/or individual-level economic fundamentals.*
   66.     One quarter of a millennium ago, the man-daemon Lord British impressed upon the citizens of Sosaria his Eight Virtues. Most of the citizens were deluded into believing that his way of life was just and fair. Some were strong enough to oppose his rule and fled to begin their own civilization, free of the oppressive autocracy.*
   67.     Rather, the market consists of the consumer (the entity purchasing the resource) and the seller (the entity offering the resource for sale or trade). For example, at the aforementioned marketplace, the baker, offering a loaf of bread, would be the seller, and an entity interested in purchasing the loaf would be the consumer.*
   68.     The importance of meditation becomes noticeable when people of all ages admit that they are living a better, more peaceful life since they started to seek communion with the Serpent of Order. To apply the power of meditation to one's life, young student, obey the rules and follow them as they are written in this manual. I have gathered some guidelines that are easy to understand, so that thou mayest begin with these relaxing exercises without having to investigate any further.
   69.     The market is the basis of my study. A market is not a tangible thing -- not like the marketplace at which one might trade with merchants for needs or wants (these I will define further into the book), although a marketplace is a part of the market.*
   70.     The most effective way to protect doors against intruders hath been proven to be a combination puzzle for the lock.
   71.     There were three principal groups who left Sosaria -- the Mages of Moon, the chivalrous folk of the Two Montors, and the folk of the port city of Fawn. Each had their own reasons for joining in the emigration: the mages because they felt that certain of Lord British's virtues were unrealistic; the Fawnese because Lord British had failed to acknowledge a ninth virtue -- Beauty; and the brave folk of Monitor because of their belief that Courage ranked above all else...
   72.     These brave folk, led by a mage whose bravery is now sadly forgotten, ventured out to sea, with little idea as to their destination; only a firm belief that Lord British was a tyrant whose rule was not to be tolerated. Erstam led them to a large island, which was instantly christened "New Sosaria." The land's name was changed shortly thereafter to "Serpent Isle," after the strange ruins found there.*
   73.     To protect thy farm animals and pets against gruesome predators, a feed mixture out of the following ingredients is very helpful: 1 bucket of red corn, 1 bucket of fish spawn, 1 bucket of ground gargoyle horn and 1 bucket of water from the silver fountain. Feed this to the animals about once a week before sunrise.~
   74.     ~ ~Gwenno~ ~Alinda of Monitor~ ~Batlin the Sage~ ~Draygan~~Peter of Monitor
   75.    --Shmed, Master of Knight's Test
   76.    ...After boiling the flesh from a family of farmers, His Majesty became inspired. He restrained a noble, a guest at the great banquet, upon the torture table and applied tourniquets to each of his limbs. One by one the limbs became useless strands of dead flesh. He showed mercy on the victim by killing him only five hours later by opening numerous small wounds on his person and letting him bleed to death.*
   77.    Balance -- The harmony between the Principles of Order and Chaos -- is the one pure axiom we hold true.  All three Principles are symbolized in our hieroglyphs: The Great Earth Serpent, keeper of Balance, lies on a vertical plane, around which the two opposing serpents of Chaos and Order wrap themselves.~~
   78.    Chaos and Order each embrace three Forces. These six Forces, when combined, form the three Principles of Balance. The Forces of Chaos are Tolerance, Enthusiasm, and Emotion; the Forces of Order are Ethicality, Discipline, and Logic.~~
   79.    During the First Age, the world was divided into four continents -- the LANDS OF LORD BRITISH, the LANDS OF THE FEUDAL LORDS, the LANDS OF DARK UNKNOWN, and the LANDS OF DANGER AND DESPAIR. After the evil wizard Mondain was defeated, only the Lands of Danger and Despair remained -- all other continents were destroyed.
   80.    Fedabiblio, this is a message to let thee know that all is not well.~ I desperately need thine help. I beg of thee to answer my call.~ Thou must needs use the Crystal Ball.~~Gustacio.
   81.    Honor be to thee, Pomdirgun, Chieftain of the Goblin Horde:~~ Letting thee know that all of our plans in these parts fare well. Having learned from our successful experience with Fawn Tower, we have decided to withdraw, on the fourth night of the coming moon, as many troops as possible from Bull Tower.~ The Bears shall be marching westward on the plains, and shall be easily slaughtered.~ Then thou canst take the Tower, and plunder the Inn of the Sleeping Bull.~~ We want to remind thee of the supreme importance not to let this messenger fall into the hands of our enemies, the Wolves and the Bears.~~ Marsten, King of Monitor
   82.    Honor be to thee, Pomdirgun, Chieftain of the Goblin Horde:~~ Letting thee know that all of our plans in these parts fare well. I have learned from the Wolves that they plan to launch a patrol in the early morning hours of the seventh day of the new moon.~ If thou dost ambush the patrol, then it shall be easy for thee to overrun Fawn Tower itself.~ The Wolves shall be critically weakened, and the City of Fawn shall quake in fear!~ But if thou canst, spare the life of the leader of the patrol. She is a favorite of my liege.~~ We beg of thee not to let this messenger fall into the hands of our enemies, the Wolves.~~ Spektor, writing on behalf of Lord Marsten
   83.    I greet thee well, Avatar, sending thee my blessings and letting thee know that it appears that thou art not paying due attention to my clues.
   84.    I have made the most wonderful discovery about the Comb that I took from that empty-headed ruler of Fawn! No longer shall I be forced to content myself with the bumbling attentions of Melino, my pitiful excuse for a husband!~ For upon using the Comb on myself, I have become beautiful and desirable! No one will ever guess now that Mosh and I are twins! Now I may use my wits for better things... like the Adept Torrissio!~~Columna
   85.    I know I did evil things whilst I was under the control of the Bane. In order to atone for the harm I have caused, I shall sacrifice myself to the Crematorium. If mine ashes can help restore the balance, then I might be partially redeemed for mine evil acts.~~
   86.    I love thee, father. I hope thou dost kill more than thy share of
   87.    I must seek out Voldin. He will know what can be done against the power that this "Mad" Iolo doth exhibit. I still can hardly believe what hath befallen me, Zulith, Chancellor of Fawn -- the most clever man on Serpent Isle: forced to flee from an insane mage!~ ~Still, all is not lost: the treasure room is well hidden and I have one of its two keys. Lady Yelinda doth have the other, though I doubt she remembers it. ~The so-called Serpent Armour is safe from that devil Iolo, and I still have my freedom and my life. Yet I cannot leave Fawn till I have secured all of the treasure!~ ~Hah! 'Tis laughable to think about the titular ruler of Fawn -- Lady Yelinda -- a woman that hath the intelligence of a fish. 'Tis best that she spend the rest of her days trapped in Gorlab, the fool! She thought that I was merely redecorating her throneroom when in sooth I had constructed (with the help of a Moonshadian mage) an illusionary wall in the southeast room of the palace! ~That is where I had to store the Serpent Armour. 'Tis safe from all, I tell you!~~
   88.    I require thee that thou dost so. ~~Faithfully thine, ~~                  Iolo
   89.    I write this in great haste, for I can already hear the forces of Order breaching the keep walls. I know not how this missive will survive to reach the outside lands, or for that matter, future generations. Mine only hope is that this speedily-drafted work
   90.    In my life as a criminal, as they call me, I have had many a task to overcome. None before was as hard as the ones I am about to describe. This is done so that thou mayest save thy time and thy life.~ Of all the traps I had to overcome, the most interesting ones were the spear traps.~ First of all, thou needest to enter the caretaker's room. After many an observation and many more days than thou wouldst think, I discovered the routine of the caretaker.~ He usually is on patrol during the whole afternoon. He makes his rounds at noon and midnight.~ In his storehouse, thou shouldst find barrels and chests. Rummaging through the barrels I found a hidden lever. That lever, I came to realize later, turns off the spear traps in the corridor.~ Make good use of that, my friend. Blessings upon thee.
   91.    Lastly, take great care of my small furry prize. Do not be fooled by its diminutive size, it hath taken the lives of many a foolhardy man who dared to approach thinking it might make a tasty morsel.~ Thou shouldst treat it with as much respect as thou wouldst bestow upon me. If thou dost not, either one of us could end thy miserable existence.~ In the supply room, thou wilt find a year's worth of carrots for Buggs. Feed him but one per day. Place the carrots upon his golden plate -- 'tis the only way that he will feed. He is of royal lineage -- a born predator. If thou dost not, thou mayest find that thou art his next meal.~ Serve me well, old man, and thou mayest live to see the outside of this prison some year...
   92.    No evidence should be left behind thee. ~~  Batlin
   93.    Note to myself for further exploration of the North:
   94.    Old man, if thou dost truly wish to survive Freedom, but dost feel that thou canst live to tell the tale of Lorthondo's final test, thou hast only to serve in my slave pit. Tend to my pets and I shall personally show thee to the door and to the blue skies of daylight and freedom. Guard my nightmare and care for him well.~ He is a treasure and a daemon in one. Take him through the teleporter once each day and let him feel the grass beneath his hooves.~ Take care, for one strike of his hoof could kill an old fool such as thou.~ Be thou sure to keep Sabrina from him. I fear that she doth frighten him. I find it strange that such a wild, untamed creature such as that should be frightened of her touch. Then again, mayhaps I can fathom why. ~
   95.    The Forces of Chaos and Order must ever remain in Balance, for imbalance leads to disaster. Witness the war-torn state of our world today! ~~As thou canst surely see, my world hath been torn asunder by disregard for Balance -- our dearest axiom! If thou dost thrive
   96.    The process of inscribing scrolls with mystic runes is beyond the scope of this primer. Using these enchanted scrolls, however, is a trivial matter. To unleash the power of the spell, simply unroll the parchment. The Runes of Power, and the scroll itself, will be totally consumed by the energies that are released.
   97.    This shall be the last of my writings. The freakish storms have continued to worsen. The laborers have all fled in terror, despite mine offer of greater remuneration. It seems fate hath decreed my country estate shall never be completed...
   98.    To thee, fine warrior, who hast made it this far:
   99.    Welcome to the Sleeping Bull Inn! Our inn hath been owned by the same family for four generations. We have a long tradition of service. We will do our best to ensure that thy stay at the inn will be most enjoyable.~ If thou hast any questions, please inquire of Mistress Devra or Master Angus.
  100.    What follows is an excerpt from my translation of an ancient manuscript. The translation is crude since I do not as yet fully understand the Serpent Runes, but I think thou wilt find this very exciting.~ Until we meet again,~~-- Erstam, thy devoted servant~~
  101.    that had no bone
  102.    that had no end...
  103.    that had no stone
  104.   --Shmed, Master of Knight's Test
  105.   ...Deer are quite prevalent in the forested areas of Britannia. They are shy creatures, generally shunning the presence of man, whom they know hunt them. Atop their head sits a pair of antlers...*
  106.   ...The Greer plant is especially fascinating, for it spends most of its life huddled with its leaves wrapped in a tight ball. However, every so often, the leaves will unfurl, radiating out from the stem...*
  107.   ...The Reaper is unique in that it is both plant and animal. Resembling a large tree, the Reaper is capable of self-animation as well as self-locomotion. Reapers have been known to attack those who cause harm to their home (i.e., the forests), but seldom reveal themselves otherwise...
  108.   ...The fox is a small animal, akin to a dog or a wolf. It is an omnivore, and more than willing to make do with a farmer's chicken when it tires of other foods...
  109.   A devout follower will know the true path towards Balance. Thou shouldst know the arts necessary to achieve Balance. To those of you who have forgotten your lessons -- take heed:~~   Fire is the embodiment of the force of Chaos, ~   Ice is the embodiment of the force of Order.~ ~   The Ice Diamond and the Fire Ruby are necessary to achieve balance within the shrine.*
  110.   As thou hast already been told, we had found a means by which the minds of our finest warriors and the bodies of snakes could be fused with one another. The resulting warrior would wreak terrible havoc on the forces of Order, bringing them their well-deserved destruction. In the earliest stages of the experiment all was well; we succeeded in joining Adder with Man in five of seven volunteers. The resulting form was vaguely humanoid, with resilient green skin, tough as the scales of a serpent.*
  111.   Honor be to thee, dear reader. This piece of parchment is mine only means of communication with thee. Mad Iolo cruelly removed my tongue, that I might lead by example and not by words!
  112.   I am so disenchanted... I cannot bear the fact that I could not save the city from further plagues. Moreover, there is absolutely no sign of the return of Batlin.
  113.   I can only assume that they have died. O Great Hierophant, I would recommend never performing these experiments again; they are more potentially dangerous than they are potentially helpful...
  114.   I cannot forget the day I first beheld thy face, for it is never far from my mind. As thou art never far from mine heart. I will admit that to thee, though it may shame me. I cannot promise when, or if, we can ever be together, dear Ruggs. For thou art in exile, and I am the only healer in Fawn. I cannot dwell outside of the gates with thee, no matter how much mine heart may wish it. But someday, if the heavens smile upon us, I shall be able to cast aside my doubts and come to thee as thy love. Until then, I remain ever thine.~~Delphynia
  115.   In memory of the countless soldiers who sacrificed their lives in the War of Imbalance
  116.   Journey to the mint; ambush the hero there. Succeed in thy mission and thou shalt be richly rewarded. There is but one penalty for failure -- death!
  117.   Much to our chagrin, however, our experiment went awry shortly thereafter. As we had them do battle to assess their powers, we noticed a disturbing trait -- the warrior would become more bloodthirsty and uncontrollable with each triumph! Soon they began to rebel against our commands. We had no choice but to exterminate them and begin anew, but the five hundred soldiers we sent against our own creations -- our monsters -- were unable to best them. We surrendered the area to them, enclosing them with stout doors in the corridors leading out.*
  118.   O Great Hierophant, sorrow fills mine heart to tell thee the regretful news that our great hope, the Shasrajah, cannot be counted on to attach the venomous fangs of victory about the necks of our enemies. Our great experiment hath failed.~
  119.   Oh, Great Captains, my Great Captains! So powerful you were yesterday, so pitiful you are today. Rulers of the City are now prisoners of the Oracle. What a fate you might have met! Iolo is pleased that such powerful creatures as you, Great Captains, have lost power, herein uncovering the fools in them... ~~Iolo
  120.   The Great Hierophant, who feared that the followers of Chaos would attempt to gain access to the Sacred Library, ordered the Adepts of the Conjury to construct a secure means of entering the Library. The Adepts spent many long nights in contemplation, rejecting one idea after another as being too impractical. It was the suggestion of a mere apprentice, Kethiss, that was finally accepted by all of the Adepts. Our Beloved Leader, the Great Hierophant, was soon informed that there could be only one way to gain ingress into the Sacred Library. The Adepts, acting in concert, placed a charm of teleportation upon our Gate. The Great Hierophant was adamant, however, that he alone could have access to the Sacred Library. Thus, the Adepts wove the charm of teleportation so that it would only trigger when the Wand of the Serpent was used on the Gate. *  The Great Hierophant, may he live a thousand years, hath successfully entered the Sacred Library by using the Wand of the Serpent and stepping upon the Serpent Gate...
  121.   The blue orb is certainly the strangest tale, but its possessor is a known entity; it rests in the decayed hands of the lich Aram-Dol.  How that malevolent entity came to possess the blue orb is where the strange tale doth lie. Approximately the same time the red orb was carried to presumed safety, the blue orb was to be carried to a location only SubCommander Gareth knew.  The six automatons sent on this mission were ambushed not far from the outpost; lookouts witnessed the battle but could not send aid in time.  The attackers were assumed to be spies of Chaos, but their identities will forever be unknown. They outnumbered the automatons by fully a score; the battle was quick.  They fled away with great haste.  Later a merchant traveling to the keep from Shasavrah reported that he had seen the thieves in a small town west of the keep, but the orb was stolen from them, along with much of their supplies, in the night. The orb appeared again in the hands of authorities in Thiriastith, who siezed it from a suspected stolen goods fence.  Not knowing its import, the authorities auctioned it as a bauble to a wizard who knew what the orb was.  This wizard, who was known only as the Asp, aspired to steal the silver seed.  He came to Serpent's Fang as an adventure seeker and was told that the other orbs were stolen or lost.  He discerned their whereabouts from this information, but that which he was told was apparently not true, for he set out immediately for Aram-Dol's lair.  Foolishly, he brought the one orb he possessed with him into those foul tunnels of Aram-Dol's lair.  The dead that walk those caverns and tunnels soon forced the Asp to join them in their ever-living death.  This new soldier of Aram-Dol brought the orb to the lich, thus bringing a momentary end to its lengthy sojourn.*
  122.   The devout follower of Balance will know how to form the blocks of ice which are necessary in achieving Balance. To those of you who have forgotten your lessons, take heed: Take the magic tapers to the Walls of Ice. Therein, use the tapers upon the walls.
  123.   The purple orb, reputedly housed in the Commander's bedchambers, was also purloined by a Chaosite, though this one was no soldier.  Those few who saw it will never forget it; they know not whether the thing was man, beast, or both.  The thing was bipedal and vaguely humanoid, but it had the fur, large ears, feline face, and claws of a cat.  It was being held prisoner in the keep, but an undisciplined soldier on duty relaxed on his watch and the cat-man escaped.  I know not how it found its way into the Commander's bedchambers; I assume that its escape was not well-planned and he happened upon it by chance.  However it did find the orb, the cat-man stole it and ran into the Maze.  No one has seen the creature or the orb since.*
  124.   The red orb was not stolen, but is out of our hands all the same.  Prior to the closure of the addition to the outpost, to the southwest of the keep, SubCommander Gareth was charged with the task of transporting the orb to this area; we can assume he accomplished his mission, but Gareth never did return.  Shortly thereafter the area was surrendered to the creatures that currently reign there.  It is my presumption that the orb still rests within this catacomb.
  125.   The snowswept surface of Sunrise Isle is totally barren. No life can live long upon the surface. It is a good thing, indeed, that the Great Hierophant decreed that it was too dangerous to allow access to the surface.
  126.   Though it be true that most of the Serpent Gates are centerpieces of the destinations they serve, in our fair city this is not so. To provide a measure of security, we have made our Gate inaccessible to all those who are not given permission by the Hierophant himself, for it is he who holds the keys. He doth keep on his person the Key of Fire and entrusts to an advisor (whose identity is kept secret to those outside the clergy) the Key of Ice.*
  127.   We found that the soldiers' minds were very much unchanged, and coupled with the quickness and sensitivity to smell of the adder, the Shasrajah were formidable in battle. Their long necks had tremendous reach, and they preferred to attack solely with their strong jaws. We were encouraged by this success, and accepted eighty-three more warriors to undergo the metamorphosis. All was well, as seventy-one survived. We believed we had found a counter to the automaton warriors the forces of Order had reputedly developed.~
  128.   What is going to happen? Thou shouldst tell me, I beg of thee. ~~   Leon.
  129.   gold coins is as low as I can go."
  130.  -- just because a woman tries to kill thee, is no reason to defame her good name."
  131.  .@
  132.  A magic axe, a mace, a morning star, a two-handed axe, a spear, a shovel or a sword are of limited effect upon thine opponent.
  133.  A scythe, a bow, a fire sword, a musket, or a two handed hammer are slightly more damaging.
  134.  Crossbows (my favorite), halberds, lightning whips, magic bows, fire wands and fire bolts are very powerful weapons.
  135.  Death falls upon us all.
  136.  Dreams.*
  137.  East
  138.  Every morning when I rise it becomes clearer and clearer to me and to many other people. The Forces of Chaos cannot be the right way of belief. What they are doing is wrong and evil. It will bring our country to a downfall. Their actions are destroying the faith of the citizens in leaders and leadership. Something must be done. There must be a way to end this Civil War. Thousands and thousands of brave followers have been victimized and sacrificed by the powers of Chaos. And thousands more are to follow if this war doth not come to an end soon. Someone must be there to help our people and protect them from the unbridled Tolerance and Anarchy of THOSE people, that were the root cause of this war. There must be a way, there must be....
  139.  Filari given to thee."
  140.  Filari, for a final sum of 
  141.  Filari, subtracting my charge of 
  142.  Filari, subtracting my fee of 
  143.  Gold Coins, subtracting my charge of 
  144.  Gold Coins, subtracting my fee of 
  145.  Guilders, subtracting my charge of 
  146.  Guilders, subtracting my fee of 
  147.  I will like thee better."
  148.  Inventory swap list as updated by Iolo
  149.  Monetari given to thee."
  150.  Monetari!"
  151.  Monetari!@
  152.  Monetari, for a final sum of 
  153.  Monetari, sir.@
  154.  Monetari, subtracting my charge of 
  155.  Monetari, subtracting my fee of 
  156.  Monetari."
  157.  Monetari.@
  158.  North
  159.  South
  160.  Stonehearts and give thee 
  161.  West
  162.  a gift 
  163.  a very rare and powerful weapon. The blade gained its considerable power from a Daemon bound within the blade by a most puissant enchantment.
  164.  about this town, until he spotted me. No doubt I prevented him from great evil!"
  165.  again, too..."
  166.  again.
  167.  ally.
  168.  ally.' I must admit, I find that hard to believe."
  169.  amidst the 
  170.  and 
  171.  and I. He seemed to relish the most grisly parts of the tale."
  172.  and give thee 
  173.  and his companions about town."
  174.  and his companions free!"
  175.  and in exchange give thee 
  176.  and no less!"
  177.  and the 
  178.  are 
  179.  are my witness, I'll never go 
  180.  are now on the ground."
  181.  are soon 
  182.  awaken thee, 
  183.  be responsible for the storms which plague the land? Or for the growing strangenesses which afflict our spellcasting?"
  184.  be, old man -- 
  185.  be.
  186.  before thou didst apprehend the accused, didst thou not?"
  187.  before?"
  188.  better please thy miserly nature?"
  189.  brought me strange items, and asked me to identify them."
  190.  call thy 
  191.  came to Moonshade was to flee justice at the hands of the Knights of Monitor!"
  192.  can do for thee, but what thou canst do for thy 
  193.  can find 
  194.  character is not to be trusted. 
  195.  come and go.
  196.  companions have no wish to destroy Beauty!"
  197.  crested helms."
  198.  days yet."
  199.  dead or mangled, Batlin?"
  200.  did ask many questions about many other people, and about strange objects which I was not familiar with..."
  201.  did ask me about the ancient ruins, indeed. Very suspicious."
  202.  did come amongst us like a disease, to bring destruction upon us all."
  203.  didst invoke the name of the Daemon British?"
